name,ingredients,cuisine,course,diet,instructions,prep_time,ingredients_clean,combined_features
thayir semiya recipe (curd semiya),"1/2 cup semiya (vermicelli) , roasted 1 cup curd (dahi / yogurt) for tempering 1 teaspoon mustard seeds (rai/ kadugu) 1/2 teaspoon white urad dal (split) pinch asafoetida (hing) 1 sprig curry leaves 2 teaspoon oil raw peanuts (moongphali) 1 sprig curry leaves 2 teaspoon oil 5 to 6 cashew nuts , for garnishing",indian,lunch,vegetarian,"to begin making the thayir semiya recipe, firstly boil the vermicelli in 2 cups water. drain it and spread on a colander.pass cold water through it. this ensures that the vermicelli does not become sticky. keep it aside and let it cool down.heat a kadai/wok and add oil. add the peanuts and roast till it turns brownish. remove and keep it aside.in the same kadai, add more oil if needed and add the mustard seeds and after it splutters add the other ingredients meant for tempering.add the boiled vermicelli and mix everything. add salt to taste and mix.finally just before serving add curd and mix well. serve thayir semiya on its own for a light and healthy lunch or dinner",Total in 35 M,cup semiya vermicelli roasted cup yogurt dahi yogurt for tempering teaspoon mustard seeds rai kadugu teaspoon white urad dal split pinch asafoetida hing sprig curry leaves teaspoon oil raw peanuts moongphali sprig curry leaves teaspoon oil to cashew nuts for garnishing,cup semiya vermicelli roasted cup yogurt dahi yogurt for tempering teaspoon mustard seeds rai kadugu teaspoon white urad dal split pinch asafoetida hing sprig curry leaves teaspoon oil raw peanuts moongphali sprig curry leaves teaspoon oil to cashew nuts for garnishing indian vegetarian lunch
chettinad style kara kuzhambu recipe with potato and brinjal,"for ground masala 1/4 teaspoon methi seeds (fenugreek seeds) 2 teaspoons coriander (dhania) seeds 1 teaspoon fennel seeds (saunf) 2 dry red chillies 1/4 cup fresh coconut , grated for the kuzhambu 1/2 cup pearl onions (sambar onions) , quartered 5 cloves garlic , finely chopped 2 tomatoes , finely chopped 2 potatoes (aloo) , cut into medium sized pieces 2 brinjal (baingan / eggplant) , cut into wedges 1 tablespoon jaggery 1 cup tamarind water 1 teaspoon sambar powder for seasoning 1 teaspoon gingelly oil 1/2 teaspoon mustard seeds (rai/ kadugu) 2 sprig curry leaves",south indian recipes,lunch,vegetarian,"to begin making the chettinad style kara kuzhambu recipe, we will first make the masala. heat a small pan on medium heat; add fenugreek seeds, coriander seeds, fennel seeds, red chillies. roast these spices until the aroma wafts in the air. stir in the freshly grated coconut and roast for another 2 to 3 minutes. turn off the heat and allow the spices to cool. transfer the spices into a mixer jar, add 1/2 cup warm water and grind to make a smooth paste.to cook the kara kuzhambu, heat oil in a pressure cooker over medium heat; add the onion, garlic and saute for a few minutes until the onion softens. add the chopped tomatoes and saute until the tomatoes are mushy.stir in the potatoes, brinjal, jaggery, tamarind water, sambar powder and salt. pressure cook for 3 to whistles and turn off the heat and allow the pressure to release naturally.in the meantime, make the seasoning; heat oil in a tadka pan; add the mustard seeds and curry leaves and allow it to crackle. turn off the heat and keep aside. once the pressure releases, stir in the coconut mixture, the seasoning mixture and give the chetinnad kara kuzhambu a brisk boil for 3 to 4 minutes. check the salt and adjust according to taste.serve hot chettinadu style potato kaarakozhambu along with steamed rice, beetroot thoran and elai vadam for a weekday meal.",Total in 75 M,for ground masala teaspoon methi seeds fenugreek seeds teaspoons coriander dhania seeds teaspoon fennel seeds saunf dry red chili cup fresh coconut grated for the kuzhambu cup pearl onion sambar onion quartered cloves garlic finely chopped tomato finely chopped potato aloo cut into medium sized pieces brinjal baingan eggplant cut into wedges tablespoon jaggery cup tamarind water teaspoon sambar powder for seasoning teaspoon gingelly oil teaspoon mustard seeds rai kadugu sprig curry leaves,for ground masala teaspoon methi seeds fenugreek seeds teaspoons coriander dhania seeds teaspoon fennel seeds saunf dry red chili cup fresh coconut grated for the kuzhambu cup pearl onion sambar onion quartered cloves garlic finely chopped tomato finely chopped potato aloo cut into medium sized pieces brinjal baingan eggplant cut into wedges tablespoon jaggery cup tamarind water teaspoon sambar powder for seasoning teaspoon gingelly oil teaspoon mustard seeds rai kadugu sprig curry leaves south indian recipes vegetarian lunch
goan chana ros recipe (white peas curry),"1/2 cup dried green peas (vatana) , soaked overnight 1/2 onion , chopped 3 tablespoon fresh coconut , grated 4 dry red chillies 1-1/2 teaspoon coriander (dhania) seeds 3 cloves (laung) 1 inch tamarind 1/2 teaspoon turmeric powder (haldi) salt , to taste",goan recipes,lunch,vegetarian,"to prepare goan chana ros recipe, soak the white peas in water for 8 hours or overnight.pressure cook the white peas along with chopped onions by adding 1 cup water for 4-5 whistles or till boiled. let the pressure from pressure cooker get released on its own.dry roast coriander seeds, dry red chilies and cloves together, till nice aroma gets emitted from coriander seeds. let it cool down.take a mixer and add grated coconut, tamarind and dry roasted spices. add 1/2 to 3/4 cup water and grind this into a smooth paste.now take a kadai and add the ground gravy to it. switch on the gas and keep it on low flame.after 5 minutes, add the boiled white peas along with onion to the gravy and mix well. if the gravy is thick, add remaining water from the pressure cooker and mix.add salt to taste and simmer for 10 minutes before switching off the gas.serve goan chana ros recipe with hot rice, kelyachyo fodi (banana)",Total in 530 M,cup dried green peas vatana soaked overnight onion chopped tablespoon fresh coconut grated dry red chili teaspoon coriander dhania seeds cloves laung inch tamarind teaspoon turmeric powder haldi salt to taste,cup dried green peas vatana soaked overnight onion chopped tablespoon fresh coconut grated dry red chili teaspoon coriander dhania seeds cloves laung inch tamarind teaspoon turmeric powder haldi salt to taste goan recipes vegetarian lunch
minced meat and egg croquettes recipe,"500 grams mutton , minced 4 whole eggs , boiled and peeled 1 onion , finely chopped 1 teaspoon ginger garlic paste 1 tablespoon red chilli powder 1 teaspoon turmeric powder (haldi) 1 teaspoon cumin powder (jeera) 1-1/2 teaspoon coriander powder (dhania) salt , salt to taste 1 tablespoon oil water , if required 2 tablespoon all purpose flour (maida) 2 whole eggs , beaten 1/4 cup whole wheat bread crumbs oil , for deep frying",north indian recipes,appetizer,non vegeterian,"to begin making the minced meat and egg croquettes recipe, heat oil in a heavy bottomed pan. add finely chopped onion sauté until onions turn translucent.add ginger garlic paste and cook till the raw smell of the paste goes off. add the spice powders and salt mix well.add minced mutton and cook for 5 minutes. mutton will release its juices. i cooked the meat in its own juices without adding any water.took about 30 minutes to get it fully cooked. remove from stove and cool completely.heat oil for deep frying in a deep fry pan. divide the minced mutton mixture into 4 equal portions.take one portion and place it in your palm, press and try to get it together.slightly flatten it and place one full boiled egg in the middle and gather the meat to cover the egg fully. try to shape it into cylindrical shape.if you find it too hard to handle the meat to shape it, try adding 1 or 2 teaspoon of beaten egg and work with the meat.roll the croquettes in flour first, then dip it in egg and then roll with bread crumbs.repeat this for all the meat. deep fry the croquettes until golden brown in oil. remove of kitchen paper.serve minced meat and egg croquettes hot with tomato garlic chutney or any dipping sauce of your choice.",Total in 55 M,grams mutton minced whole eggs boiled and peeled onion finely chopped teaspoon ginger garlic paste tablespoon red chilli powder teaspoon turmeric powder haldi teaspoon cumin powder jeera teaspoon coriander powder dhania salt salt to taste tablespoon oil water if required tablespoon all purpose flour maida whole eggs beaten cup whole wheat bread crumbs oil for deep frying,grams mutton minced whole eggs boiled and peeled onion finely chopped teaspoon ginger garlic paste tablespoon red chilli powder teaspoon turmeric powder haldi teaspoon cumin powder jeera teaspoon coriander powder dhania salt salt to taste tablespoon oil water if required tablespoon all purpose flour maida whole eggs beaten cup whole wheat bread crumbs oil for deep frying north indian recipes non vegeterian appetizer
thekera tenga recipe,"4 potatoes (aloo) , thinly sliced 1 tablespoon mustard oil 1/4 teaspoon turmeric powder (haldi) 1 tablespoon rice flour , or 1 mashed potato 2 teaspoons lemon juice , or 3-4 thekera pieces soaked in 1/4 cup of water salt , to taste for tempering 1 teaspoon mustard oil 1 teaspoon panch phoran masala 4 green chillies , roughly chopped 4 sprig coriander (dhania) leaves , finely chopped",assamese,dinner,vegetarian,"to begin making the thekera tenga recipe, heat a wide pan with oil and shallow fry the potato pieces and set them aside.heat oil and temper with ingredients given 'for tempering'.add 1-2 cups of water, salt and turmeric powder .mix rice flour with one tablespoon of water (or 1 mashed potato) and add it to the water mixture. when the mixture starts to thicken, add lemon juice ( or thekera water ) and the roasted potatoes.cook over low flame for another 4-5 minutes and switch off. garnish with cilantro leaves and serve it along with flatbreads or rice. serve thekera tenga along with steamed rice for a weekday dinner.",Total in 30 M,potato aloo thinly sliced tablespoon mustard oil teaspoon turmeric powder haldi tablespoon rice flour or mashed potato teaspoons lemon juice or thekera pieces soaked in cup of water salt to taste for tempering teaspoon mustard oil teaspoon panch phoran masala green chili roughly chopped sprig coriander dhania leaves finely chopped,potato aloo thinly sliced tablespoon mustard oil teaspoon turmeric powder haldi tablespoon rice flour or mashed potato teaspoons lemon juice or thekera pieces soaked in cup of water salt to taste for tempering teaspoon mustard oil teaspoon panch phoran masala green chili roughly chopped sprig coriander dhania leaves finely chopped assamese vegetarian dinner
spicy cabbage rice recipe (south indian style mutta kose sadham recipe),"2 cups cooked rice ghee , or oil as required 1 teaspoon cumin seeds (jeera) 1 onion , thinly sliced 1 cup cabbage (patta gobi/ muttaikose) , shredded 2 green chillies , finely chopped 1/2 teaspoon red chilli powder 1/2 teaspoon turmeric powder (haldi) 1/2 teaspoon sambar powder coriander (dhania) leaves , few, finely chopped salt , to taste",indian,lunch,vegetarian,"to prepare spicy cabbage rice recipe, firstly heat oil in a kadai. add cumin seeds, green chillies and let it cook for 15 seconds.next, add in the sliced onions and cook till they become soft and translucent.add in the shredded cabbage, salt and turmeric powder. cook till the cabbage becomes soft.once it is done, add in the cooked rice, red chilli powder and the sambar powder. mix everything well.cover for 2 minutes. open the lid, give it a stir and garnish with fresh coriander leaves.serve spicy cabbage rice recipe with raita of your choice.",Total in 65 M,cups cooked rice ghee or oil as required teaspoon cumin seeds jeera onion thinly sliced cup cabbage patta gobi muttaikose shredded green chili finely chopped teaspoon red chilli powder teaspoon turmeric powder haldi teaspoon sambar powder coriander dhania leaves few finely chopped salt to taste,cups cooked rice ghee or oil as required teaspoon cumin seeds jeera onion thinly sliced cup cabbage patta gobi muttaikose shredded green chili finely chopped teaspoon red chilli powder teaspoon turmeric powder haldi teaspoon sambar powder coriander dhania leaves few finely chopped salt to taste indian vegetarian lunch
mullangi poriyal recipe,"2 mooli/ mullangi (radish) , (cleaned, peeled & chopped) 1/8 teaspoon turmeric powder (haldi) 2 teaspoons red chilli powder 1 teaspoon coriander powder (dhania) salt , to taste for tempering: 1 tablespoon sesame (gingelly) oil 1 teaspoon chana dal (bengal gram dal) 1 teaspoon black urad dal (split) 1 teaspoon cumin seeds (jeera) 1 sprig curry leaves",tamil nadu,dinner,diabetic friendly,"to prepare mullangi curry(south indian style radish stir fry) recipe, heat a pan with oil over low flame.temper with all the tempering ingredients in the order given.once tempered, add the radish and stir to mix.add the turmeric powder, chilli powder, coriander powder and salt.mix well, add half cup of water and cook covered till the radish cooks and becomes soft.keep stirring occasionally for uniform cooking.once the radish is soft, open the lid and cook on high, stirring continuously for 30-40 seconds and switch off.your south indian style mullangi curry is ready to be served as a side dish with rasam and steamed rice.",Total in 40 M,mooli mullangi radish cleaned peeled chopped teaspoon turmeric powder haldi teaspoons red chilli powder teaspoon coriander powder dhania salt to taste for tempering tablespoon sesame gingelly oil teaspoon chana dal bengal gram dal teaspoon black urad dal split teaspoon cumin seeds jeera sprig curry leaves,mooli mullangi radish cleaned peeled chopped teaspoon turmeric powder haldi teaspoons red chilli powder teaspoon coriander powder dhania salt to taste for tempering tablespoon sesame gingelly oil teaspoon chana dal bengal gram dal teaspoon black urad dal split teaspoon cumin seeds jeera sprig curry leaves tamil nadu diabetic friendly dinner
karwar style surana bhaji recipe - hot and sour yam dry curry,"500 grams elephant yam (suran/senai/ratalu) , peeled and cut very small 1 teaspoon mustard seeds (rai/ kadugu) 10 dry red chillies 1/2 teaspoon methi seeds (fenugreek seeds) pinch asafoetida (hing) 1/2 teaspoon turmeric powder (haldi) 1 cup tamarind paste 1 teaspoon jaggery , pound salt , to taste oil , for cooking",karnataka,side dish,vegetarian,"to begin making the karwar style surana bhaji recipe - hot and sour yam dry curry by heating a skillet with oil. splutter the mustard seeds for few seconds.then add asafoetida, turmeric powder, dry red chillies and fenugreek seeds. roast them for few seconds and grind it into a smooth mixture using a mixer grinder.heat the pressure cooker, add little oil and fry the yam pieces, add the ground spice mixture, then add the tamarind pulp and jaggery. toss it well and coat it evenly. check for seasoning as well.pressure cook the yam for 4 whistles, let the pressure get released naturally. pour it into a serving dish.serve the karwar style surana bhaji recipe - hot and sour yam dry curry as a side dish along with karwar style varan kadhi recipe and steamed rice for your everyday meals.",Total in 30 M,grams elephant yam suransenairatalu peeled and cut very small teaspoon mustard seeds rai kadugu dry red chili teaspoon methi seeds fenugreek seeds pinch asafoetida hing teaspoon turmeric powder haldi cup tamarind paste teaspoon jaggery pound salt to taste oil for cooking,grams elephant yam suransenairatalu peeled and cut very small teaspoon mustard seeds rai kadugu dry red chili teaspoon methi seeds fenugreek seeds pinch asafoetida hing teaspoon turmeric powder haldi cup tamarind paste teaspoon jaggery pound salt to taste oil for cooking karnataka vegetarian side dish
malvani fish curry recipe - delicious and spicy fish curry,"for the fish curry 1 inch ginger , finely chopped 4 cloves garlic , finely chopped 1 onion , finely chopped 2 tomato , finely chopped 1/2 cup coconut milk 1/4 cup tamarind water 1 sprig curry leaves 1 teaspoon mustard seeds (rai/ kadugu) 1 teaspoon mustard oil salt , to taste to marinade 2 king fish , cut into flat fillet 1 teaspoon red chilli powder 1/2 teaspoon turmeric powder (haldi) 1 teaspoon cumin powder (jeera) 1 teaspoon coriander powder (dhania) 1 lemon juice salt , to taste for the malvani masala 1 teaspoon coriander (dhania) seeds 1/2 teaspoon cumin seeds (jeera) 1 teaspoon fennel seeds (saunf) 1 inch cinnamon stick (dalchini) 2 cloves (laung) 1 bay leaf (tej patta) 1 pinch nutmeg 1/2 teaspoon whole black peppercorns 4 dry red chillies 1 star anise",malvani,lunch,high protein non vegetarian,"to begin making the malvani fish curry recipe, we will first wash the king fish well with water, drain the water completely. add in red chilli powder, turmeric, cumin powder, coriander powder, salt to taste and lemon juice. give it a mix and marinate the fish for at least 30 minutes.",Total in 40 M,for the fish curry inch ginger finely chopped cloves garlic finely chopped onion finely chopped tomato finely chopped cup coconut milk cup tamarind water sprig curry leaves teaspoon mustard seeds rai kadugu teaspoon mustard oil salt to taste to marinade king fish cut into flat fillet teaspoon red chilli powder teaspoon turmeric powder haldi teaspoon cumin powder jeera teaspoon coriander powder dhania lemon juice salt to taste for the malvani masala teaspoon coriander dhania seeds teaspoon cumin seeds jeera teaspoon fennel seeds saunf inch cinnamon stick dalchini cloves laung bay leaf tej patta pinch nutmeg teaspoon whole black peppercorns dry red chili star anise,for the fish curry inch ginger finely chopped cloves garlic finely chopped onion finely chopped tomato finely chopped cup coconut milk cup tamarind water sprig curry leaves teaspoon mustard seeds rai kadugu teaspoon mustard oil salt to taste to marinade king fish cut into flat fillet teaspoon red chilli powder teaspoon turmeric powder haldi teaspoon cumin powder jeera teaspoon coriander powder dhania lemon juice salt to taste for the malvani masala teaspoon coriander dhania seeds teaspoon cumin seeds jeera teaspoon fennel seeds saunf inch cinnamon stick dalchini cloves laung bay leaf tej patta pinch nutmeg teaspoon whole black peppercorns dry red chili star anise malvani high protein non vegetarian lunch
urulai kizhangu masiyal recipe (potatoes in a tangy lemon and ginger gravy),"3 potatoes (aloo) , boiled and cut into cubes 2 green chillies , finely chopped 1 inch ginger , grated 5-6 curry leaves , finely chopped 1/2 teaspoon mustard seeds (rai/ kadugu) 1 teaspoon white urad dal (split) 1/2 teaspoon turmeric powder (haldi) 1 teaspoon oil 1 coriander (dhania) leaves , small bunch, finely chopped",tamil nadu,side dish,vegan,"to begin making the urulai kizhangu masiyal recipe (potatoes in a tangy lemon and ginger gravy), we will first cook the potatoes until soft. once soft, peel the potatoes and cut them into dices. watch video recipe of how to cook potatoes in pressure cookerthe next step is to spice up the potatoes to make the masiyal.heat a teaspoon of oil in a heavy bottom pan on medium heat; add the mustard seeds and the halved urad dal; allow them to crackle and the dal to turn light golden brown.stir in the ginger, curry leaves, turmeric powder, greenstir in the ginger, curry leaves, turmeric powder, green chillies, boiled potatoes, salt along with 1 cup of water. turn the heat to low and simmer the urulai kizhangu for about 10 minutes. the mixture will look like a mish mash of potatoes.finally stir in the lemon juice and freshly chopped coriander leaves. check the salt and spice levels and adjust to suit your taste.serve the urulai kizhangu masiyal recipe (potatoes in a tangy lemon and ginger gravy) along with phulkas for a wholesome weeknight dinner.",Total in 60 M,potato aloo boiled and cut into cubes green chili finely chopped inch ginger grated curry leaves finely chopped teaspoon mustard seeds rai kadugu teaspoon white urad dal split teaspoon turmeric powder haldi teaspoon oil coriander dhania leaves small bunch finely chopped,potato aloo boiled and cut into cubes green chili finely chopped inch ginger grated curry leaves finely chopped teaspoon mustard seeds rai kadugu teaspoon white urad dal split teaspoon turmeric powder haldi teaspoon oil coriander dhania leaves small bunch finely chopped tamil nadu vegan side dish
