name,ingredients,cuisine,course,diet,instructions,prep_time
तुरई चना सब्ज़ी - Ridge Gourd With Black Gram Dal (Recipe In Hindi),"

							 		1 कप काला चना 

							 		2 तुरई 

							 		2 बड़ा चमच्च सरसो का तेल 

							 		1/2 छोटा चमच्च मेथी के दाने 

हींग							 		, चुटकी भर							 	

							 		2 प्याज							 		, काटे हुए							 	

							 		6 कली लहसुन							 		, काटा हुआ							 	

							 		2 हरी मिर्च							 		, काटा हुआ							 	

							 		1 छोटा चमच्च हल्दी पाउडर 

							 		1 छोटा चमच्च धनिया पाउडर 

							 		1/2 छोटा चमच्च जीरा पाउडर 

							 		1 छोटा चमच्च लाल मिर्च पाउडर  

							 		1/2 छोटा चमच्च गरम मसाला पाउडर 

							 		1/2 छोटा चमच्च अमचूर पाउडर 

नमक							 		, स्वाद अनुसार							 	

हरा धनिया							 		, गार्निश करे के लिए							 	
",Indian,Lunch,Vegetarian,"तुरई चना सब्ज़ी बनाने के लिए, सबसे पहले काले चने को 6 से 8 घंटो के लिए भिगो के रख दे. अब तुरई का छिलका छिलके उसे काट ले. एक कढ़ाई में तेल गरम करें और उसमे मेथी के बीज और हींग डाले। 10 सेकण्ड्स के बाद उसमे प्याज, लहसुन और हरी मिर्च डाले। तब तक पकाए जब तक प्याज नरम न हो जाये। नरम होने के बाद इसमें लाल मिर्च पाउडर, हल्दी पाउडर, धनिया पाउडर और नमक डाले। अच्छी तरह मिलाए और 3 से 5 के लिए पकने दे. उसके बाद कला चना और पानी डाले और 10 से 12 मिनट के लिए पकने दे. .10 से 12 मिनट के बाद तुरई डाले और मिला ले. आखिर में गरम मसाला पाउडर, अमचूर और जीरा पाउडर डाले। सब को मिला ले और 2 मिनट के लिए और पकाए। अब हरा धनिये के साथ गार्निश करें और परोसे। इस रेसिपी को आप दिन के काने के लिए पंचमेल दाल और लच्छा पराठा के साथ गरमा गरम परोसे।  ",Total in 30 M
अरबी मसाला कसूरी मेथी के साथ - Arbi Masala (Recipe In Hindi),"

							 		250 ग्राम अरबी							 		, उबली और गोलाकार काटी हुई							 	

							 		1/4 कप टमाटर 

							 		1 छोटा चमच्च अदरक							 		, पेस्ट							 	

							 		1 छोटा चमच्च लहसुन							 		, पेस्ट							 	

							 		1/4 प्याज							 		, बारीक काटा हुआ							 	

							 		1 हरी मिर्च							 		, बारीक कटी हुई							 	

							 		1/4 छोटा चमच्च अमचूर पाउडर 

							 		1/4 छोटा चमच्च धनिया पाउडर 

							 		1 छोटा चमच्च लाल मिर्च पाउडर 

							 		1 छोटा चमच्च गरम मसाला पाउडर 

नमक							 		, स्वाद अनुसार							 	

अजवाइन							 		, थोड़ी							 	

हरा धनिया							 		, थोड़ा (कटा हुआ)							 	

हींग							 		, चुटकी भर							 	

							 		1 छोटा चमच्च कसूरी मेथी 

							 		2 बड़ा चमच्च तेल 
",Indian,Lunch,Vegetarian,"अरबी मसाला कसूरी मेथी के साथ बनाने के लिए कढाई मे तेल डाले, अजवाइन और हींग का तडका दे।10 सेकण्ड्स बाद अदरक और लहसुन की पेस्ट डालकर भूने। 1 मिनट बाद लालमिर्च पाउडर, धनिया पाउडर, हल्दी पाउडर डालकर मिलाए।प्याज और हरीमिर्च डालकर भूने ।ध्यान रखे तले पर मसाला जले ना। मीडियम आँच पर प्याज को हल्का ब्राउन होने तक भूने।फिर टमाटर डालकर टमाटर गलने तक पकाए।  तेल कढाई छोडने लगे तब अमचूर पाउडर, नमक, गरम मसाला पाउडर, और कसूरी मेथी हथेली से रगड़कर डाले।  अरबी डालकर मिलाए।2 से 3 मिनट धीमी आँच पर पकने दे. गेस ऑफ कर मसालेदार कसूरी अरबी को सर्विग प्लेट मे निकाल कर हरे धनिये से सजाकर परोसे।अरबी मसाला कसूरी मेथी के साथ को लहसुनि दाल, बूंदी रायता और तवा पराठा के साथ दिन के खाने के लिए परोसे।",Total in 35 M
नुव्वुला पचड़ी रेसिपी - Nuvvula Pachadi Recipe,"

							 		1 कप तिल (सफ़ेद) 

							 		1 छोटा चमच्च लाल मिर्च पाउडर							 		, adjust according to your preference							 	

							 		1 छोटा चमच्च इमली का पानी 

							 		1-1/2 छोटा चमच्च दही 

							 		1/2 छोटा चमच्च निम्बू का रस 

नमक							 		, स्वाद अनुसार							 	
तड़के के लिए:

तेल							 		, प्रयोग अनुसार							 	

							 		1/2 छोटा चमच्च राइ 

हींग							 		, चुटकी भर							 	
",Indian,Side Dish,Vegetarian,"नुव्वुला पचड़ी रेसिपी बनाने के लिए सबसे पहले एक कढ़ाई को गरम कर ले. इसमें तिल डाले और हल्का भूरा होने तक पका ले.इससे एक मिक्सर ग्राइंडर में डाले। इसमें लाल मिर्च पाउडर, इमली का पानी, नमक डाले और अच्छी तरह से पीस ले. एक बाउल में निकाल ले.इसमें दही और निम्बू का रस डाले और अच्छी तरह से मिला ले. तड़के के लिए, एक तड़का पैन में थोड़ा सा तेल गरम करें। इसमें राइ, हींग डाले और तड़कने दे. मिला ले और परोसे। नुव्वुला पचड़ी रेसिपी को सुबह के नाश्ते के लिए घी रोस्ट डोसा या वड़ा के साथ परोसे।",Total in 15 M
चीज़ी आलू पराठा - Cheesy Aloo Paratha (Recipe In Hindi),"
आटे के लिए

							 		1 कप गेहूं का आटा 

							 		1 छोटा चमच्च तेल 

							 		1/4 छोटा चमच्च नमक 

पानी							 		, प्रयोग अनुसार, आटा गूंदने के लिए							 	
भरने के लिए

							 		2 आलू							 		, उबालकर, चिली और मैश करले							 	

							 		1 छोटा चमच्च तेल 

							 		1 सुखी लाल मिर्च							 		, तोड़ी हुई							 	

							 		1/2 छोटा चमच्च जीरा 

हींग							 		, चुटकी भर							 	

							 		1 हरी मिर्च							 		, बारीक कटी हुई							 	

							 		1 इंच अदरक							 		, कसी हुई							 	

							 		1 प्याज							 		, बारीक कटे हुए							 	

							 		1/4 छोटा चमच्च हल्दी पाउडर 

							 		1/2 छोटा चमच्च धनिया पाउडर 

							 		1/2 छोटा चमच्च जीरा पाउडर 

							 		1/2 छोटा चमच्च गरम मसाला पाउडर 

							 		1/2 छोटा चमच्च चाट मसाला पाउडर 

							 		1/4 कप चीज़							 		, कसा हुआ							 	

							 		4 पत्ते हरा धनिया							 		, बारीक कटे हुए							 	

नमक							 		, स्वाद अनुसार							 	
",North Indian Recipes,North Indian Breakfast,Vegetarian,"चीज़ी आलू पराठा बनाने के लिए सबसे पहले एक बड़ा बाउल ले ले. इसमें आटा, नमक, तेल, पानी डाले और इससे गूंद ले. इससे एक कैसे से ढके और 15-20 मिनट के लिए अलग से रख ले. इसके बाद हम इसमें भरने के लिए मसाला तैयार करेंगे। आलू को एक प्रेशर कुकर में पानी और नमक के साथ डाले और 3 सिटी बजने तक पकाये। हो जाने के बाद उसका छिलका निकले और मैश करले। अब एक कढ़ाई में तेल गरम करें। इसमें सुखी लाल मिर्च और जीरा डाले। 10 सेकंड के बाद इसमें हींग, बारीक कटा हुआ प्याज, हरी मिर्च, अदरक और नमक डाले। प्याज के नरम होने तक पकाए।अब इस मसाले में मैश किये हुए आलू, हल्दी पाउडर, धनिया पाउडर, जीरा पाउडर, गरम मसाला पाउडर, चाट मसाला, नमक डाले और 3 से 4 मिनट तक पकाये।अंत में कैसा हुआ चीज़, हरा धनिया डाले और अच्छी तरह से मिला ले. पराठे बनाने से पहले, आटे को एक बार और गूंद ले. और इस आटे से छोटी बॉल बना ले. थोड़ा सा आटा छिटके और एक छोटी सी रोटी बना ले. मसाले को बीचमे रखे और चारो तरफ से बंद कर ले. बिच में दबाए और उसे रोटी में बेलना चालू करें। धीरे धीरे बेले ताकि मसाला बाहर ना आये. अब एक तवा गरम करें और उसपर पराठा रख दे. घी या तेल डाले और दोनों तरफ से अच्छी तरह पका ले और गरमा गरम परोसे। चीज़ी आलू पराठे को बूंदी का रायता, तड़का रायता या किसी और रायते के साथ गरमा गरम परोसे।  ",Total in 30 M
काथीरीकइ गोथ्सु रेसिपी - Kathirikai Gotsu Recipe,"

							 		1 बैंगन							 		, काट ले							 	

							 		10 छोटे प्याज़							 		, काट ले							 	

							 		2 टमाटर							 		, काट ले							 	

							 		1 इंच अदरक							 		, बारीक काट ले							 	

							 		1/2 कप इमली का पानी 

							 		1 छोटा चम्मच सांबर पाउडर 

							 		1/4 छोटा चम्मच हींग 

							 		1/2 छोटा चम्मच हल्दी पाउडर 

							 		1 बड़ा चम्मच गुड़ 

							 		1 छोटा चम्मच राइ 

							 		1 टहनी कढ़ी पत्ता 

							 		1 बड़ा चम्मच तिल का तेल 

नमक							 		, स्वाद अनुसार							 	

हरा धनिया							 		, प्रयोग अनुसार, गार्निश के लिए							 	
",South Indian Recipes,Side Dish,Vegetarian,"काथीरीकइ गोथ्सु रेसिपी बनाने के लिए सबसे पहले एक प्रेशर कुकर में तेल गरम करें। इसमें राइ डाले और तड़कने दे.अब इसमें हींग, कढ़ी पत्ता, सांबर प्याज, अदरक डाले और प्याज के नरम होने तक पका ले.प्याज के नरम हो जाने के बाद इसमें बैंगन, टमाटर, इमली का पानी, हल्दी पाउडर, हींग, सांबर पाउडर, नमक, गुड़, पानी डाले और मिला ले.कुकर बंद करें और 3 से 4 सिटी आने तक पका ले. गैस बंद करें और प्रेशर अपने आप निकलने दे. कुकर खोले, मिलाए और हरे धनिये से गार्निश करें। काथीरीकइ गोथ्सु रेसिपी को वेन पोंगल और फ़िल्टर कॉफ़ी के साथ सुबह के नाश्ते के लिए परोसे।.",Total in 50 M
चकुंदर पनीर करी रेसिपी -  Beetroot Paneer Curry Recipe In Coconut Milk,"

							 		200 ग्राम पनीर							 		, काट ले							 	

							 		2 चकुंदर							 		, छीलकर काट ले							 	

							 		1 प्याज							 		, बारीक काट ले							 	

							 		2 हरी मिर्च							 		, सीधा काट ले							 	

							 		1 इंच अदरक							 		, कस ले							 	

							 		2 कली लहसुन							 		, बारीक काट ले							 	

							 		1 छोटा चमच्च धनिया पाउडर 

							 		1 छोटा चमच्च हल्दी 

							 		1 छोटा चमच्च गरम मसाला पाउडर 

							 		3/4 कप नारियल का दूध 

							 		2 छोटे चमच्च तेल							 		, प्रयोग अनुसार							 	

नमक							 		, स्वाद अनुसार							 	

लाल मिर्च पाउडर							 		, स्वाद अनुसार							 	
",Indian,Side Dish,High Protein Vegetarian,"चकुंदर पनीर करी बनाने के लिए सबसे पहले चकुंदर, प्याज, अदरक, लहसुन, हरी मिर्च को प्रेशर कुकर में 1 कप पानी, हल्दी पाउडर और नमक के साथ डाले।2 सिटी आने तक पका ले, अब आंच कम करें और 3 से 4 मिनट के लिए और पका ले. गैस बंद करें और प्रेशर को अपने आप निकलने दे. प्रेशर निकलने के बाद इसमें नारियल का दूध, पनीर, धनिया पाउडर, गरम मसाला पाउडर डाले और उबाला आने दे. उबाला आने के बाद, गैस बंद करें और इसे एक बाउल में निकाल ले. परोसे।चकुंदर पनीर करी को पालक रायता और चावल/तवा पराठा के साथ दिन के खाने के लिए परोसे।",Total in 55 M
बांदे दिन्दु कडले पाल्या रेसिपी - Banana Stem Chickpea Curry,"

							 		1 केले का स्टेम							 		, धो कर काट ले							 	

							 		1 कप काला चना							 		, रात भर भिगो ले							 	

							 		2 बड़े चमच्च नारियल							 		, कस ले							 	

							 		2 छोटे चमच्च जीरा 

							 		2 छोटे चमच्च धनिये के बीज 

							 		1-1/2 छोटा चमच्च लाल मिर्च पाउडर 

							 		2 प्याज							 		, काट ले							 	

							 		1 कली लहसुन							 		, छील ले							 	

कढ़ी पत्ता							 		, प्रयोग अनुसार							 	

नमक							 		, स्वाद अनुसार							 	

तेल							 		, प्रयोग अनुसार							 	

हरा धनिया							 		, थोड़ा							 	

							 		1 हरी मिर्च 

							 		1 छोटा चमच्च निम्बू का रस 
",Coastal Karnataka,Lunch,Vegetarian,"बांदे दिन्दु कडले पाल्या रेसिपी बनाने के लिए सबसे पहले केले के स्टेम का अधिक हिस्सा काट ले. इसके ऊपर और निचे का हिस्सा ट्रिम कर ले और बारीक काट ले.अब एक प्रेशर कुकर में काला चना और प्रयोग अनुसार पानी डाले। 1 से 2 सिटी आने तक पका ले. प्रेशर अपने आप निकलने दे.कुकर को खोले और इसमें केले के स्टेम, नमक डाले और 1 सिटी के लिए और पका ले।  प्रेशर अपने आप निकलने दे. कढ़ाई में धनिए के बीज डाले और 1 मिनट के लिए सेक ले. अलग से रख ले. उसी कढ़ाई में थोड़ा और तेल गरम करें। इसमें जीरा, कढ़ी पत्ता डाले और 10 सेकण्ड्स के लिए पका ले. अब इसमें प्याज, लहसुन डाले और प्याज के नरम होने तक पका ले. गैस बंद कर ले और थोड़ा ठंडा होने दे. एक मिक्सर ग्राइंडर में सीके हुए धनिये की बीज, पका हुआ प्याज लहसुन का मिश्रण, नारियल, थोड़ा सा पानी डाले और पीस ले. अब कुकर को खोले और उसे एक कढ़ाई में डाल दे. इसमे पिसा हुआ मसाला डाले और मिला ले. लाल मिर्च पाउडर, नमक डाले और उबाला आने दे. उबाला आने के बाद गैस बंद करें, निम्बू का रस डाले और मिला ले. हरा धनिया और मिर्च से गार्निश करें और परोसे। बांदे दिन्दु कडले पाल्या रेसिपी को लच्छा पराठा और पालक रायता के साथ दिन के खाने के लिए परोसे।",Total in 65 M
इमली चिल्ली आलू रेसिपी - Tamarind Chilli Potato Recipe,"

							 		3 आलू							 		, उबालकर काट ले							 	

							 		1 प्याज							 		, काट ले							 	

							 		3 बड़ा चम्मच इमली का पेस्ट 

							 		1 बड़ा चम्मच शक्कर 

							 		4 कली लहसुन							 		, काट ले							 	

							 		2 बड़ा चम्मच काजू							 		, काट ले							 	

							 		2 टहनी कढ़ी पत्ता 

नमक							 		, स्वाद अनुसार							 	

							 		1 बड़ा चम्मच हरा धनिया							 		, काट ले							 	

तेल							 		, प्रयोग अनुसार							 	

							 		1 बड़ा चम्मच अजवाइन 

							 		2 लाल मिर्च							 		, ताज़ी							 	
",Indian,Side Dish,Vegetarian,"इमली चिल्ली आलू रेसिपी बनाने के लिए सबसे पहले आलू को उबाल के अलग से रख ले. एक प्रेशर कुकर में आलू को प्रयोग अनुसार पानी के साथ डाले और 5 सिटी आने के लिए पका ले. प्रेशर अपने आप निकलने दे, आलू को छिलका निकाले और काट ले. अलग से रख दे. एक कढ़ाई में तेल गरम कर ले. इसमें आलू डाले और उनका सुनहरा भूरा होने तक तल ले. कढ़ाई से निकाले और अलग से रख ले. उसी कढ़ाई में तेल गरम करें। इसमें अजवाइन डाले और तड़कने दे. अब इसमें काजू डाले और सुनहरा भूरा होने तक पका ले. अब इसमें लहसुन, प्याज डाले और प्याज के नरम होने के लिए पका ले. अब इसमें लाल मिर्च, कढ़ी पत्ता डाले और 1 मिनट के लिए पका ले. अब इसमें इमली का पेस्ट, शक्कर, नमक डाले और मिला ले. 1 मिनट के बाद इसमें आलू डाले और 2 से 3 मिनट के लिए पका ले. गैस बंद करें और हरे धनिये से गार्निश करें। परोसे। इमली चिल्ली आलू रेसिपी को पालक दाल, फुल्का और टमाटर प्याज ककड़ी रायते के साथ दिन के खाने के लिए परोसे।",Total in 50 M
बीन्स करम रेसिपी - Beans Curry (Recipe In Hindi),"

							 		500 ग्राम्स हरा बीन्स 

							 		2 प्याज							 		, काट ले							 	

							 		1 बड़ा चमच्च धनिये के बीज 

							 		1/2 छोटा चमच्च जीरा 

							 		4 सुखी लाल मिर्च 

							 		2 ब्यादगी लाल मिर्च 

							 		1 कप नारियल							 		, कस ले							 	

							 		2 बड़ा चमच्च सूखा नारियल 

							 		1 बड़ा चमच्च खुस खुस 

							 		1 इमली							 		, एक निम्बू जितना							 	

							 		2 बड़ा चमच्च गुड़ 

							 		1 बड़ा चमच्च हल्दी पाउडर 

नमक							 		, स्वाद अनुसार							 	

							 		1 छोटा चमच्च राइ 

							 		10 कढ़ी पत्ता 

							 		1/4 छोटा चमच्च हींग 
",North Indian Recipes,Lunch,Vegetarian,"बीन्स करम बनाने के लिए सबसे पहले एक कढ़ाई में तेल गरम कर ले. इसमें धनिये के बीज, जीरा, मिर्च, सूखा नारियल, खुस खुस और नारियल डाले। 1 से 2 मिनट तक पकाए और फिर निकाल दे. इस मिक्सचर को मिक्सर ग्राइंडर में डाले। इसमें इमली, गुड़, 1/2 प्याज और नमक डाले और इसी अच्छी तरह से पीस ले. अब एक सॉसपैन में पानी डाले और बीन्स को नरम होने तक पका ले. उसके बाद एक कढ़ाई में तेल गरम करें। इसमें राइ डाले और 10 सेकंड तक पकाए। 10 सेकण्ड्स के बाद इसमें हींग, कढ़ी पत्ता, प्याज और नमक डाले। प्याज के नरम होने तक पकाए। प्याज के नरम होने के बाद, इसमें हल्दी पाउडर, बीन्स डाले और 1 मिनट तक पकाए। अब इसमें पिसा हुआ मसाला डाले, मिलाए और 5 मिनट तक पकाए। 5 मिनट के बाद एक कप पानी डाले और उबलने दे. अच्छी तरह से पाक जाने के बाद, गरमा गरम परोसे। बीन्स करम को मिक्स्ड वेजिटेबल सांबर, चावल और पापड़ के साथ दिन के खाने के लिए परोसे।",Total in 45 M
हैदराबादी खादी मसूर की दाल रेसिपी - Hyderabadi Khadi Masoor Ki Dal Recipe,"

							 		1 कप मसूर दाल 

							 		1 प्याज							 		, पतला काट ले							 	

							 		1 टमाटर							 		, बारीक काट ले							 	

							 		2 हरी मिर्च							 		, सीधा काट ले							 	

							 		1/2 छोटा चमच्च अदरक लहसुन का पेस्ट 

							 		1/4 छोटा चमच्च हल्दी पाउडर 

							 		1/2 छोटा चमच्च लाल मिर्च पाउडर 

नमक							 		, प्रयोग अनुसार							 	

तेल							 		, प्रयोग अनुसार							 	

							 		1 छोटा चमच्च हरा धनिया							 		, काट ले							 	
",Hyderabadi,Lunch,High Protein Vegetarian,"हैदराबादी खादी मसूर की दाल रेसिपी बनाने के लिए सबसे पहले एक कढ़ाई में तेल गरम कर ले.  तेल के गरम होने के बाद इसमें प्याज डाले और उनके नरम होने तक पका ले.अब इसमें टमाटर, हरी मिर्च डाले और टमाटर के नरम होने तक पका ले.टमाटर के नरम होने के बाद इसमें अदरक लहसुन का पेस्ट डाले और 1 मिनट के लिए पका ले. 1 मिनट के बाद इसमें मसूर दाल, लाल मिर्च पाउडर, हल्दी पाउडर डाले और 2 मिनट के लिए पका ले. 2 मिनट के बाद इसमें 2-1/2 कप पानी डाले और दाल के नरम होने तक धीमी आंच पर पकने दे. नमक डाले और मिला ले.10 से 15 मिनट तक पकने के बाद, हरे धनिये से गार्निश करें और परोसे। हैदराबादी खादी मसूर की दाल रेसिपी को लौकी बड़ी की सब्ज़ी, बूंदी रायता और फुल्के के साथ दिन के खाने के लिए परोसे.",Total in 25 M
